"Дата","Область","Місто","Значення 1","Значення 2","Значення 3","Значення 4","Значення 5","Значення 6","Значення 7","Значення 8","Значення 9","Значення 10","long","lat"
"10.04.2024","Одеська","Одеса","1","0","1","1","0","1","1","0","0","0","30,7306393","46,4702111"
"10.04.2024","Одеська","Одеса","1","0","1","0","0","1","1","0","0","0","30,7306393","46,4702111"
"10.04.2024","Одеська","Одеса","1","0","1","0","0","1","1","0","0","0","30,7306393","46,4702111"
"10.04.2024","Одеська","Одеса","1","0","0","0","0","0","0","0","0","0","30,7306393","46,4702111"
"10.04.2024","Одеська","Одеса","1","0","0","0","0","0","0","0","0","0","30,7306393","46,4702111"
"11.04.2024","Миколаївська","Миколаїв","1","1","0","0","0","1","1","0","1","0","32,003246","46,9660801"
"11.04.2024","Миколаївська","Миколаїв","0","0","0","0","0","1","1","0","1","0","32,003246","46,9660801"
"11.04.2024","Миколаївська","Миколаїв","0","0","0","0","0","1","1","0","1","0","32,003246","46,9660801"
"11.04.2024","Миколаївська","Миколаїв","0","0","0","0","0","1","1","0","1","0","32,003246","46,9660801"
"11.04.2024","Миколаївська","Миколаїв","0","0","0","0","0","1","1","0","1","0","32,003246","46,9660801"
"11.04.2024","Миколаївська","Миколаїв","0","0","0","0","0","0","0","0","1","0","32,003246","46,9660801"
"11.04.2024","Миколаївська","Миколаїв","0","0","0","0","0","0","0","0","1","0","32,003246","46,9660801"
"11.04.2024","Миколаївська","Миколаїв","0","0","0","0","0","0","0","0","1","0","32,003246","46,9660801"
"11.04.2024","Львівська","Шептицький","1","1","0","1","0","0","0","1","0","0","24,2199454","50,3871767"
"11.04.2024","Львівська","Шептицький","1","1","0","1","0","0","0","0","0","0","24,2199454","50,3871767"
"11.04.2024","Львівська","Шептицький","1","0","0","0","0","0","0","0","0","0","24,2199454","50,3871767"
"11.04.2024","Львівська","Шептицький","1","0","0","0","0","0","0","0","0","0","24,2199454","50,3871767"
"11.04.2024","Львівська","Стрий","1","1","0","1","0","0","0","0","1","0","23,8431343","49,2656076"
"11.04.2024","Львівська","Стрий","1","1","0","1","0","0","0","0","0","0","23,8431343","49,2656076"
"11.04.2024","Львівська","Стрий","1","0","0","1","0","0","0","0","0","0","23,8431343","49,2656076"
"11.04.2024","Львівська","Стрий","1","0","0","1","0","0","0","0","0","0","23,8431343","49,2656076"
"11.04.2024","Львівська","Стрий","1","0","0","0","0","0","0","0","0","0","23,8431343","49,2656076"
"11.04.2024","Львівська","Стрий","1","0","0","0","0","0","0","0","0","0","23,8431343","49,2656076"
"11.04.2024","Київська","Обухів","1","1","0","0","0","0","0","1","0","0","30,6298846","50,109938"
"11.04.2024","Харківська","Харків","1","0","1","0","0","0","0","1","0","0","36,3073994","50,0020127"
"11.04.2024","Харківська","Харків","1","0","1","0","0","0","0","0","0","0","36,3073994","50,0020127"
"11.04.2024","Харківська","Харків","1","0","1","0","0","0","0","0","0","0","36,3073994","50,0020127"
"11.04.2024","Харківська","Харків","1","0","1","0","0","0","0","0","0","0","36,3073994","50,0020127"
"11.04.2024","Харківська","Харків","1","0","1","0","0","0","0","0","0","0","36,3073994","50,0020127"
"11.04.2024","Харківська","Харків","1","0","1","0","0","0","0","0","0","0","36,3073994","50,0020127"
"11.04.2024","Харківська","Харків","1","0","1","0","0","0","0","0","0","0","36,3073994","50,0020127"
"11.04.2024","Харківська","Харків","1","0","1","0","0","0","0","0","0","0","36,3073994","50,0020127"
"11.04.2024","Харківська","Харків","1","0","1","0","0","0","0","0","0","0","36,3073994","50,0020127"
"11.04.2024","Харківська","Харків","1","0","1","0","0","0","0","0","0","0","36,3073994","50,0020127"
"11.04.2024","Харківська","Харків","1","0","1","0","0","0","0","0","0","0","36,3073994","50,0020127"
"11.04.2024","Харківська","Харків","1","0","1","0","0","0","0","0","0","0","36,3073994","50,0020127"
"11.04.2024","Запорізька","Запоріжжя","1","1","0","0","0","0","0","1","0","0","35,1387097","47,8392842"
"12.04.2024","Дніпропетровська","Кривий Ріг","1","0","0","1","0","0","0","1","0","0","33,391783","47,910483"
"13.04.2024","Донецька","Велика Новосілка","1","0","1","0","0","0","0","0","1","0","36,8448462","47,8359616"
"15.04.2024","Харківська","Чугуїв","1","0","1","0","0","0","0","0","1","1","36,6813122","49,8363158"
"15.04.2024","Харківська","Чугуїв","1","0","1","0","0","0","0","0","0","0","36,6813122","49,8363158"
"15.04.2024","Харківська","Чугуїв","1","0","1","0","0","0","0","0","0","0","36,6813122","49,8363158"
"15.04.2024","Харківська","Чугуїв","1","0","1","0","0","0","0","0","0","0","36,6813122","49,8363158"
"15.04.2024","Донецька","Слов'янськ","1","1","0","0","0","0","0","0","1","0","37,6053","48,8532"
"15.04.2024","Донецька","Слов'янськ","0","0","0","0","0","0","0","0","1","0","37,6053","48,8532"
"16.04.2024","Харківська","Богодухів","1","0","0","0","1","0","0","0","1","0","35,5402444","50,1636245"
"16.04.2024","Харківська","Богодухів","1","0","0","0","1","0","0","0","0","0","35,5402444","50,1636245"
"16.04.2024","Харківська","Куп'янськ","1","0","0","0","1","0","0","0","1","0","37,6027997","49,7055574"
"16.04.2024","Харківська","Куп'янськ","1","0","0","0","1","0","0","0","1","0","37,6027997","49,7055574"
"16.04.2024","Харківська","Ізюм","1","0","0","0","1","0","0","0","1","0","37,2665006","49,2121445"
"16.04.2024","Харківська","Ізюм","1","0","0","0","1","0","0","0","0","0","37,2665006","49,2121445"
"17.04.2024","Одеська","Білгород-Дністровський","1","1","0","0","0","0","0","0","1","0","30,3414908","46,1854516"
"17.04.2024","Харківська","Куп'янськ","1","0","0","0","1","0","0","0","1","0","37,6027997","49,7055574"
"17.04.2024","Чернігівська","Чернігів","1","0","1","0","0","1","1","0","1","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","1","0","1","0","0","1","1","0","1","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","1","0","1","0","0","1","1","0","1","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","1","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","1","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","1","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","1","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","1","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","1","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","1","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","1","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","1","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","1","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","1","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","1","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","1","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","1","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","1","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Чернігівська","Чернігів","0","0","0","0","0","0","1","0","0","0","31,28935","51,4982"
"17.04.2024","Дніпропетровська","Дніпро","1","0","1","0","0","0","0","0","1","0","35,046183","48,464717"
"18.04.2024","Харківська","Вовчанськ","1","0","0","0","1","0","0","0","1","0","36,9329429","50,284234"
"18.04.2024","Харківська","Вовчанськ","1","0","0","0","1","0","0","0","0","0","36,9329429","50,284234"
"18.04.2024","Дніпропетровська","Дніпро","1","1","0","0","0","0","1","1","1","0","35,046183","48,464717"
"18.04.2024","Дніпропетровська","Дніпро","1","1","0","0","0","0","1","0","0","0","35,046183","48,464717"
"18.04.2024","Дніпропетровська","Дніпро","1","1","0","0","0","0","0","0","0","0","35,046183","48,464717"
"18.04.2024","Дніпропетровська","Дніпро","1","1","0","0","0","0","0","0","0","0","35,046183","48,464717"
"18.04.2024","Дніпропетровська","Дніпро","1","1","0","0","0","0","0","0","0","0","35,046183","48,464717"
"18.04.2024","Дніпропетровська","Дніпро","1","1","0","0","0","0","0","0","0","0","35,046183","48,464717"
"19.04.2024","Одеська","Одеса","1","1","0","0","0","0","1","0","1","0","30,7306393","46,4702111"
"19.04.2024","Одеська","Одеса","1","1","0","0","0","0","0","0","0","0","30,7306393","46,4702111"
"19.04.2024","Одеська","Одеса","1","1","0","0","0","0","0","0","0","0","30,7306393","46,4702111"
"19.04.2024","Дніпропетровська","Дніпро","1","1","0","0","0","1","1","0","1","0","35,046183","48,464717"
"19.04.2024","Дніпропетровська","Дніпро","1","1","0","0","0","1","1","0","1","0","35,046183","48,464717"
"19.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","1","0","35,046183","48,464717"
"19.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","1","0","35,046183","48,464717"
"19.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","1","0","35,046183","48,464717"
"19.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","1","0","35,046183","48,464717"
"19.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","1","0","35,046183","48,464717"
"19.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","1","0","35,046183","48,464717"
"19.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"19.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"19.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"19.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"19.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"19.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"19.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"19.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"19.04.2024","Дніпропетровська","Кривий Ріг","1","0","1","0","0","0","1","0","1","0","33,391783","47,910483"
"19.04.2024","Дніпропетровська","Кривий Ріг","0","0","0","0","0","0","1","0","0","0","33,391783","47,910483"
"19.04.2024","Дніпропетровська","Кривий Ріг","0","0","0","0","0","0","1","0","0","0","33,391783","47,910483"
"19.04.2024","Дніпропетровська","Синельникове","1","1","0","0","0","1","1","0","1","0","35,521396","48,3229038"
"19.04.2024","Дніпропетровська","Синельникове","1","1","0","0","0","1","1","0","1","0","35,521396","48,3229038"
"19.04.2024","Дніпропетровська","Синельникове","1","1","0","0","0","1","1","0","1","0","35,521396","48,3229038"
"19.04.2024","Дніпропетровська","Синельникове","1","1","0","0","0","1","1","0","1","0","35,521396","48,3229038"
"19.04.2024","Дніпропетровська","Синельникове","0","0","0","0","0","1","1","0","1","0","35,521396","48,3229038"
"19.04.2024","Дніпропетровська","Синельникове","0","0","0","0","0","1","1","0","1","0","35,521396","48,3229038"
"19.04.2024","Дніпропетровська","Синельникове","0","0","0","0","0","0","1","0","1","0","35,521396","48,3229038"
